epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,115.57,0.68385,0.64419,0.64453,0.9574,0,0.82303,0.92857,0.93301,0.72908,0.82303,0.92857,0.93301,0.59734,0.73716,1.45091,1.526,1.06042,0,0.00120491,0.00120491,0.00120491
30,118.885,0.69145,0.67552,0.657,0.9786,0,0.76495,0.83929,0.84454,0.69334,0.76495,0.83929,0.84454,0.49394,0.77185,1.67763,1.41048,1.06133,0,0.0011884,0.0011884,0.0011884
31,122.003,0.66313,0.6826,0.68341,0.97501,0,0.73308,0.80357,0.81971,0.64467,0.7287,0.80357,0.77022,0.45398,0.86209,1.8659,1.19892,1.2855,0,0.0011719,0.0011719,0.0011719
32,125.208,0.6765,0.6468,0.64368,0.94476,0,0.86227,0.90179,0.9625,0.79499,0.82631,0.86607,0.91904,0.70951,0.60055,0.80316,1.1321,1.0036,0,0.0011554,0.0011554,0.0011554
33,128.61,0.62685,0.68672,0.61038,0.93413,0,0.89021,0.83036,0.94061,0.76252,0.84805,0.79464,0.87503,0.62712,0.68029,0.85967,0.95169,1.08361,0,0.00113889,0.00113889,0.00113889
34,131.787,0.65317,0.66687,0.63333,0.94287,0,0.68431,0.90179,0.79938,0.61759,0.65042,0.82935,0.69668,0.43476,0.76384,1.85814,1.8462,1.13606,0,0.00112239,0.00112239,0.00112239
35,134.959,0.69099,0.65594,0.65272,0.96627,0,0.88941,0.96429,0.94944,0.72249,0.85183,0.92857,0.90048,0.59612,0.78766,1.438,1.48981,1.18565,0,0.00110589,0.00110589,0.00110589
36,138.119,0.66721,0.63891,0.62056,0.9607,0,0.81413,0.96429,0.95746,0.76496,0.81413,0.96429,0.95746,0.68287,0.65227,1.16585,1.20853,0.99521,0,0.00108938,0.00108938,0.00108938
37,141.287,0.59914,0.54202,0.62241,0.93867,0,0.74398,0.95684,0.95048,0.74525,0.74398,0.95684,0.95048,0.64332,0.73813,1.49398,1.29068,1.16327,0,0.00107288,0.00107288,0.00107288
38,144.387,0.65427,0.63425,0.60809,0.93015,0,0.84875,0.98534,0.9724,0.80815,0.84875,0.98534,0.9724,0.74839,0.65835,0.96866,0.87834,1.01958,0,0.00105638,0.00105638,0.00105638
39,147.691,0.61574,0.57928,0.57284,0.92492,0,0.83936,0.90352,0.95827,0.85892,0.83936,0.90352,0.95827,0.79933,0.52376,0.6351,0.71123,0.89003,0,0.00103987,0.00103987,0.00103987
40,151.044,0.59198,0.58399,0.58976,0.95869,0,0.91833,0.92114,0.93148,0.84276,0.91833,0.92114,0.93148,0.79261,0.5124,0.56475,0.71634,0.86327,0,0.00102337,0.00102337,0.00102337
41,154.3,0.5836,0.61679,0.59773,0.93633,0,0.89878,0.92817,0.94329,0.85274,0.89878,0.92817,0.94329,0.83023,0.5223,0.5227,0.75521,0.85918,0,0.00100687,0.00100687,0.00100687
42,157.746,0.59169,0.53106,0.58457,0.9649,0,0.80786,0.95968,0.89662,0.81478,0.80786,0.95968,0.89662,0.76613,0.53774,0.49481,0.69008,0.88379,0,0.000990365,0.000990365,0.000990365
43,160.977,0.56816,0.56387,0.58332,0.93895,0,0.80512,0.83929,0.883,0.75838,0.80512,0.83929,0.883,0.71487,0.53217,0.53804,0.7535,0.87604,0,0.000973861,0.000973861,0.000973861
44,164.129,0.57344,0.56163,0.55261,0.9009,0,0.76334,0.8681,0.88439,0.7661,0.76334,0.8681,0.88439,0.73276,0.52186,0.53992,0.80426,0.87706,0,0.000957358,0.000957358,0.000957358
45,167.447,0.61668,0.56422,0.60426,0.95707,0,0.74119,0.982,0.90517,0.78074,0.74119,0.982,0.90517,0.73513,0.5082,0.55773,0.68991,0.88356,0,0.000940855,0.000940855,0.000940855
46,170.725,0.60842,0.52483,0.62135,0.93599,0,0.90388,0.8125,0.92925,0.80596,0.90388,0.8125,0.92925,0.75489,0.56511,0.52458,0.85556,0.91786,0,0.000924352,0.000924352,0.000924352
47,173.974,0.55342,0.5168,0.53329,0.92443,0,0.91263,0.95509,0.995,0.8636,0.91263,0.95509,0.995,0.83038,0.57182,0.54,0.61423,0.94693,0,0.000907848,0.000907848,0.000907848
48,177.417,0.56829,0.53752,0.54324,0.91972,0,0.94394,0.96429,0.98632,0.82814,0.94394,0.96429,0.98632,0.81884,0.57077,0.52246,0.58788,1.00761,0,0.000891345,0.000891345,0.000891345
49,180.566,0.55796,0.50178,0.56299,0.93501,0,0.88335,0.94729,0.95692,0.8426,0.88335,0.94729,0.95692,0.79173,0.48938,0.55658,0.61584,0.9562,0,0.000874842,0.000874842,0.000874842
50,183.716,0.57044,0.52518,0.5586,0.93486,0,0.8241,0.96429,0.96285,0.87804,0.8241,0.96429,0.96285,0.83759,0.43315,0.42105,0.61504,0.84248,0,0.000858338,0.000858338,0.000858338
51,187.237,0.53535,0.52548,0.52161,0.88041,0,0.90361,0.94147,0.93535,0.85693,0.90361,0.94147,0.93535,0.79753,0.48083,0.43384,0.5251,0.87801,0,0.000841835,0.000841835,0.000841835
52,190.687,0.55629,0.56356,0.51189,0.94948,0,0.91953,1,0.93972,0.87292,0.91953,1,0.93972,0.83929,0.42268,0.38984,0.44111,0.84425,0,0.000825332,0.000825332,0.000825332
53,193.903,0.50304,0.5032,0.43945,0.89725,0,0.97663,1,0.995,0.93783,0.97663,1,0.995,0.88165,0.41655,0.38039,0.42056,0.83189,0,0.000808828,0.000808828,0.000808828
54,197.406,0.51024,0.54964,0.53547,0.89944,0,0.93406,1,0.995,0.91135,0.93406,1,0.995,0.87856,0.41817,0.37399,0.43131,0.82625,0,0.000792325,0.000792325,0.000792325
55,200.643,0.51202,0.49774,0.49778,0.90913,0,0.8896,0.99342,0.99267,0.92292,0.8896,0.99342,0.99267,0.88615,0.45133,0.3459,0.43882,0.84846,0,0.000775822,0.000775822,0.000775822
56,203.99,0.47685,0.49187,0.47662,0.89958,0,0.97187,0.98914,0.995,0.9325,0.97187,0.98914,0.995,0.89299,0.41817,0.35469,0.46473,0.8408,0,0.000759318,0.000759318,0.000759318
57,207.461,0.51981,0.53378,0.49443,0.90841,0,0.97805,1,0.995,0.93714,0.97805,1,0.995,0.89093,0.3871,0.3397,0.39078,0.82563,0,0.000742815,0.000742815,0.000742815
58,210.884,0.50242,0.46903,0.47552,0.90084,0,0.97352,0.99608,0.995,0.91319,0.97352,0.99608,0.995,0.87295,0.4494,0.36316,0.405,0.90678,0,0.000726312,0.000726312,0.000726312
59,214.208,0.53364,0.51589,0.50982,0.93062,0,0.98712,1,0.995,0.90583,0.98712,1,0.995,0.87066,0.49134,0.39082,0.40848,0.92031,0,0.000709809,0.000709809,0.000709809
60,217.523,0.4905,0.50625,0.47982,0.88662,0,0.98106,1,0.995,0.91502,0.98106,1,0.995,0.87502,0.48173,0.39211,0.41456,0.87607,0,0.000693305,0.000693305,0.000693305
